Date,Year,Month,Price for last transaction,Maximum,Minimum,Average price,%prom,Quantity,Traffic BEST mkd,Total traffic
14.10.2014,2014,10,"250,00",,,"250,00","0,00",0,0,0
15.10.2014,2014,10,"250,00",,,"250,00","0,00",0,0,0
16.10.2014,2014,10,"250,00",,,"250,00","0,00",0,0,0
17.10.2014,2014,10,"250,00",,,"250,00","0,00",0,0,0
20.10.2014,2014,10,"250,00",,,"250,00","0,00",0,0,0
21.10.2014,2014,10,"250,00",,,"250,00","0,00",0,0,0
22.10.2014,2014,10,"250,00",,,"250,00","0,00",0,0,0
24.10.2014,2014,10,"250,00",,,"250,00","0,00",0,0,0
27.10.2014,2014,10,"250,00",,,"250,00","0,00",0,0,0
28.10.2014,2014,10,"250,00",,,"250,00","0,00",0,0,0
29.10.2014,2014,10,"250,00",,,"250,00","0,00",0,0,0
30.10.2014,2014,10,"250,00",,,"250,00","0,00",0,0,0
31.10.2014,2014,10,"250,00",,,"250,00","0,00",0,0,0
03.11.2014,2014,11,"250,00",,,"250,00","0,00",0,0,0
04.11.2014,2014,11,"250,00",,,"250,00","0,00",0,0,0
05.11.2014,2014,11,"250,00",,,"250,00","0,00",0,0,0
06.11.2014,2014,11,"250,00",,,"250,00","0,00",0,0,0
07.11.2014,2014,11,"250,00",,,"250,00","0,00",0,0,0
10.11.2014,2014,11,"250,00",,,"250,00","0,00",0,0,0
11.11.2014,2014,11,"250,00",,,"250,00","0,00",0,0,0
12.11.2014,2014,11,"250,00",,,"250,00","0,00",0,0,0
13.11.2014,2014,11,"305,00","305,00","305,00","305,00","22,00",581,177.205,177.205
14.11.2014,2014,11,"305,00",,,"305,00","0,00",0,0,0
17.11.2014,2014,11,"305,00",,,"305,00","0,00",0,0,0
18.11.2014,2014,11,"305,00",,,"305,00","0,00",0,0,0
19.11.2014,2014,11,"305,00",,,"305,00","0,00",0,0,0
20.11.2014,2014,11,"305,00",,,"305,00","0,00",0,0,0
21.11.2014,2014,11,"305,00",,,"305,00","0,00",0,0,0
24.11.2014,2014,11,"305,00",,,"305,00","0,00",0,0,0
25.11.2014,2014,11,"305,00",,,"305,00","0,00",0,0,0
26.11.2014,2014,11,"305,00",,,"305,00","0,00",0,0,0
27.11.2014,2014,11,"305,00",,,"305,00","0,00",0,0,0
28.11.2014,2014,11,"305,00",,,"305,00","0,00",0,0,0
01.12.2014,2014,12,"305,00",,,"305,00","0,00",0,0,0
02.12.2014,2014,12,"450,00","450,00","450,00","450,00","47,54",180,81.000,81.000
04.12.2014,2014,12,"409,00","409,00","409,00","409,00","-9,11",100,40.900,40.900
05.12.2014,2014,12,"410,00","410,00","410,00","410,00","0,24",683,280.030,280.030
09.12.2014,2014,12,"410,00",,,"410,00","0,00",0,0,0
10.12.2014,2014,12,"410,00",,,"410,00","0,00",0,0,0
11.12.2014,2014,12,"410,00",,,"410,00","0,00",0,0,0
12.12.2014,2014,12,"410,00",,,"410,00","0,00",0,0,0
15.12.2014,2014,12,"410,00",,,"410,00","0,00",0,0,0
16.12.2014,2014,12,"410,00",,,"410,00","0,00",0,0,0
17.12.2014,2014,12,"410,00",,,"410,00","0,00",0,0,0
18.12.2014,2014,12,"410,00",,,"410,00","0,00",0,0,0
19.12.2014,2014,12,"410,00",,,"410,00","0,00",0,0,0
22.12.2014,2014,12,"357,00","357,00","357,00","357,00","-12,93",100,35.700,35.700
23.12.2014,2014,12,"357,00",,,"357,00","0,00",0,0,0
24.12.2014,2014,12,"357,00",,,"357,00","0,00",0,0,0
25.12.2014,2014,12,"357,00",,,"357,00","0,00",0,0,0
26.12.2014,2014,12,"357,00",,,"357,00","0,00",0,0,0
29.12.2014,2014,12,"357,00",,,"357,00","0,00",0,0,0
30.12.2014,2014,12,"357,00",,,"357,00","0,00",0,0,0
02.1.2015,2015,1,"357,00",,,"357,00","0,00",0,0,0
05.1.2015,2015,1,"357,00",,,"357,00","0,00",0,0,0
08.1.2015,2015,1,"357,00",,,"357,00","0,00",0,0,0
09.1.2015,2015,1,"357,00",,,"357,00","0,00",0,0,0
12.1.2015,2015,1,"357,00",,,"357,00","0,00",0,0,0
13.1.2015,2015,1,"357,00",,,"357,00","0,00",0,0,0
14.1.2015,2015,1,"357,00",,,"357,00","0,00",0,0,0
15.1.2015,2015,1,"357,00",,,"357,00","0,00",0,0,0
16.1.2015,2015,1,"357,00",,,"357,00","0,00",0,0,0
20.1.2015,2015,1,"357,00",,,"357,00","0,00",0,0,0
21.1.2015,2015,1,"357,00",,,"357,00","0,00",0,0,0
22.1.2015,2015,1,"357,00",,,"357,00","0,00",0,0,0
23.1.2015,2015,1,"357,00",,,"357,00","0,00",0,0,0
26.1.2015,2015,1,"367,00","367,00","367,00","367,00","2,80",25,9.175,9.175
27.1.2015,2015,1,"367,00",,,"367,00","0,00",0,0,0
28.1.2015,2015,1,"367,00",,,"367,00","0,00",0,0,0
29.1.2015,2015,1,"367,00",,,"367,00","0,00",0,0,0
30.1.2015,2015,1,"367,00",,,"367,00","0,00",0,0,0
02.2.2015,2015,2,"367,00","367,00","367,00","367,00","0,00",575,211.025,211.025
03.2.2015,2015,2,"367,00","367,00","367,00","367,00","0,00",396,145.332,145.332
04.2.2015,2015,2,"367,00",,,"367,00","0,00",0,0,0
05.2.2015,2015,2,"367,00",,,"367,00","0,00",0,0,0
06.2.2015,2015,2,"367,00",,,"367,00","0,00",0,0,0
09.2.2015,2015,2,"367,00",,,"367,00","0,00",0,0,0
